reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
a9116c12-e4fd-44a7-b47d-2aa5d7124a85,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi bermasalah.Error saat mau masuk menu pembayaran. Beberapa kali dicoba di waktu yang berbeda hasilnya sama saja. Padahal jaringan internet saya bagus. Kalau mau pulang kampung dan bayar di samsat,repot, jauh. Pak Gub, tolong aksi, sekarang jaman serba praktis, harusnya pelayanan semakin kesini semakin dipermudah.",1,10,3.1.4,2026-04-17 12:59:26,,,3.1.4
af1edd25-923f-45bb-b493-65c2cedb6530,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi membantu cek brp pembayaran pajaknya. Saran untuk pembayaran yang telat bayar, klo bisa tetap bisa dibayar lewat online, karena sya sendiri perantauan, jd klo mau bayar pajak masa harus balik kampung dlu.. Kan gk efisien,.. Mungkin ini bisa mewakili permasalahan yg lainnya orang perantauan. Semoga sistem aplikasinya diupgrade. Demi kenyamanan bersama. Terima kasih",5,0,3.1.4,2026-05-20 11:17:50,,,3.1.4
4e0142ea-2466-4cc8-bed5-041e80a2d772,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kenapa blm masuk juga padahal suda bayar Lo ini tolong untuk segera di tindak lanjuti udah bayar banyak Lo ini saya knp belum masuk juga pembayaran nya tolong lah ini gimna selanjutnya coba uang sudah masuk malah belum terverifikasi..pliss ini saya udah bayar Lo min knp blm masuk juga Wee penipuan kah ini,1,2,3.1.4,2026-05-15 20:49:39,,,3.1.4
519db25e-4342-438f-96c3-9b1f2e80e0ed,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"jelek banget sii pelayanannya, beda banget kalo pake apk signal bisa langsung cetak stnk ada juga pilihan diantar langsung, nah ini ribet banget harus ke kantor samsat dulu mana lama banget lagi",1,5,3.1.4,2026-05-02 10:13:38,,,3.1.4
04514bcd-63df-4c76-adb3-95194a09b767,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Seperti biasa, aplikasi instansi pemerintah BUSUK gaada yg bener. Cuma bisa ngecek biaya, gabisa buat bayar. Ada menu help center tp kosong dalamnya.",1,0,3.1.4,2026-05-23 10:39:02,,,3.1.4
1d9f3057-1ea9-4149-9cb6-660c8ff25442,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bukan mempermudah tapi mempersulit beda sama apk sebelah, sebagai perantau yang motor sama STNK asli di rumah merasa ribet,mohon di perbaiki sistem upload fotonya",1,0,3.1.4,2026-05-03 09:58:24,,,3.1.4
b9b5a03f-fc5a-4993-a202-4349672bfc96,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Saran agar pengecekan kendaraan ditambahkan dengan pengecekan berdasarkan NIK agar pemilik NIK bisa mengetahui daftar kendaraan yg terdaftar sesuai dg NIK tersebut. selain itu untuk mengetahui juga apakah NIK nya disalahgunakan apa tidak oleh orang yg tidak bertanggung jawab untuk mendaftarkan kepemilikan kendaraan..,3,2,3.1.4,2026-04-17 10:26:07,,,3.1.4
a460bcf4-4b5b-4ce6-8b99-7987f13e10fd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sudah bayar via online untuk mengurai antrian tapi tidak bisa dicetak di Samsat keliling & diarahkan ke kantor di hari kerja. Dengan kata lain tidak berguna peluncuran aplikasinya, tolong perbaiki birokrasi & prosedur agar memudahkan masyarakat yg tertib membayar pajak",1,3,3.1.4,2026-04-19 09:24:17,,,3.1.4
1841b098-7359-4bc0-a2f7-eae6eae5a4c5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kurang lengkap fasilitasnya. masa pelayanan onlinenya sekarang tidak ada. jadi ribet kalau harus ngurus langsung. maaf saya kasih bintang 1 karena aplikasinya kurang berguna,1,4,3.1.4,2026-04-16 11:07:46,,,3.1.4
7811e838-7bdb-4fbb-910d-ba20cda312e1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sekarang gk bisa dipakai, sering gagal memuat data padahal jaringan/Wifi bagus",1,3,3.1.4,2026-04-13 13:06:17,,,3.1.4
